t_and_o_map  europe continent europa_regina 
supercontinent  europe continent mediterranean_sea eurasia borders_of_the_continents asia americas africa oceania boundaries_between_continents north_america mediterranean_coast new_world alps baltica columbia_(supercontinent) laurentia rodinia euramerica gondwana pangea laurasia avalonia mediterranean 
late_middle_ages  europe migration_period middle_ages renaissance_humanism modern_era vatican_city denmark france iceland turkey aegean_sea christendom history_of_europe roman_empire roman_architecture picts constantinople early_middle_ages visigoths byzantine_empire fealty frankish_empire holy_roman_empire high_middle_ages maritime_republics roman_catholic_church papacy crusades fall_of_constantinople mongol_invasion_of_europe golden_horde france_in_the_middle_ages early_modern_period pope polish%e2%80%93lithuanian_commonwealth modern_history russian_empire habsburg_empire interwar_period history_of_the_european_union turkish_republic british_empire ireland southern_europe european_bison flag akrotiri_and_dhekelia 
hurricane_sandy  tropical_cyclone hurricane extratropical_cyclone blizzard post-tropical_cyclone gulf_stream hurricane_wilma new_jersey extratropical_transition_technique nor%27easter atlantic_hurricane polar_vortex 
great_famine_(ireland)  europe industrial_revolution republic_of_ireland united_kingdom british_empire ireland 
democracy  uruguay europe european_union classical_antiquity social_construct western_civilization ancient_history modern_era africa revolutions_of_1989 berlin_wall council_of_europe kazakhstan enlargement_of_the_european_union europe_day phoenicia athena albania bulgaria hungary isle_of_man montenegro netherlands norway poland sweden turkey aegean_sea islamic_world phoenicians athens cleisthenes athenian_democracy humanism socrates plato thucydides city_states renaissance monarchy parliament protestant isaac_newton modern_history age_of_enlightenment revolutions_of_1848 child_labour communist russian_civil_war mussolini fascism turkish_republic secularism sudetenland parliamentary_democracy republic andorra_la_vella stepanakert 
southern_hemisphere  tropical_cyclone hurricane extratropical_cyclone low-pressure_area cyclone rain tornado weather_system middle_latitudes latitude depression_(weather) equator 30th_parallel_south 70th_parallel_south northern_hemisphere surface_weather_analysis jetstream warm_front bomb_(meteorology) westerlies cold-core_low subtropical_cyclone coriolis_effect convection low_pressure_system precipitation_(meteorology) autumn wellington extratropical_transition_technique tropical_cyclogenesis centers_of_action anticyclonic_storm subtropical_ridge polar_vortex weather_bomb eastern_hemisphere oceania roman_catholic_church prevailing_westerlies gondwana pangea forest bear list_of_countries_by_area 
oslo  europe demonym moscow paris london madrid demographics_of_europe council_of_europe vatican_city denmark gibraltar monaco norway svalbard north_sea burial_mound athens kiev black_death rome child_labour great_purge battles_of_narvik berlin tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn helsinki tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara pristina stepanakert tskhinvali tiraspol 
renaissance_exploration  europe italy 
modern_history  europe mediterranean_sea classical_antiquity western_civilization middle_ages modern_era americas oceania phoenicia poland roman_era christendom history_of_europe mediterranean_coast phoenicians ancient_rome achaemenid_empire roman_empire augustus late_antiquity early_middle_ages carolingian_empire ostrogoths renaissance byzantine_empire sasanids history_of_islam_in_southern_italy umayyad_caliphate umayyad frankish_empire holy_roman_empire serbian_empire high_middle_ages late_middle_ages maritime_republics ottoman_empire golden_horde early_modern_period protestant christopher_columbus modern_history french_revolution napoleonic_empire austrian_empire austro-hungarian_empire italian_unification russian_empire austria-hungary german_empire unfree_labour nazi_germany british_empire decolonisation mediterranean zagreb amsterdam 
battle_of_waterloo  wellington europe france united_kingdom history_of_europe napoleon grande_arm%c3%a9e napoleonic_wars napoleonic_empire congress_of_vienna prussia battle_of_britain british_empire brussels 
international_organizations_in_europe  europe euler_diagram 
temple_works  europe industrial_revolution 
crown_dependencies  pound_sterling europe russian_federation demographics_of_europe kingdom_of_great_britain belarus kazakhstan vatican_city european_integration federation schengen_area european_anthem albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria channel_islands croatia czech_republic denmark estonia finland france gibraltar germany georgia_(country) greece hungary iceland republic_of_ireland italy isle_of_man san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom faroe_islands armenia cyprus greenland balkans scottish_people england great_britain turkish_republic british_empire brexit ireland balkan northern_cyprus british_overseas_territories countries_of_the_united_kingdom akrotiri_and_dhekelia %c3%85land_islands %c3%85land jersey 
gondwana  europe continent mediterranean_sea eurasia borders_of_the_continents asia americas africa oceania boundaries_between_continents north_america mediterranean_coast mediterranean_basin new_world alps geology_of_europe baltica supercontinent columbia_(supercontinent) laurentia rodinia euramerica pangea laurasia microcontinent avalonia pinophyta biogeography mediterranean 
mount_elbrus  europe continent eurasia caucasus_mountains russian_federation russia caucasus 
magyars  europe warsaw_pact bulgaria hungary moldova slovenia turkey early_middle_ages pechenegs magyars charlemagne holy_roman_empire high_middle_ages ausgleich turkish_republic 
chi%c8%99in%c4%83u  europe moscow paris london madrid vatican_city gibraltar liechtenstein moldova monaco athens kiev rome berlin tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara pristina stepanakert tskhinvali transnistria tiraspol 
polis  europe istanbul classical_antiquity ancient_greece ancient_greek athena greece aegean_sea anaximander herodotus ptolemy minoan_civilization crete greeks parthenon athens athenian_democracy aristotle socrates plato historiography thucydides homer sophocles euripides hippocrates pythagoras euclid archimedes city_states achaemenid_empire roman_empire politics late_antiquity jerusalem ankara tiraspol 
beggars  europe 
congress_of_berlin  europe albania bosnia_and_herzegovina montenegro serbia cyprus adriatic_sea danube serbs ottoman_empire great_power prussia austro-hungarian_empire eastern_question russian_empire serbian_revolution balkan_wars franz_joseph_i_of_austria entente_powers austria-hungary kingdom_of_italy munich_agreement decolonisation podgorica 
tropical_cyclone  tropical_cyclone hurricane storm european_windstorm extratropical_cyclone low-pressure_area anticyclone high-pressure_area cyclone rain thunderstorm blizzard tornado synoptic_scale_meteorology weather_system post-tropical_cyclone depression_(weather) northern_hemisphere cyclogenesis wind_shear jetstream atmospheric_pressure gulf_stream westerlies cold-core_low subtropical_cyclone sea_surface_temperature weather_satellite dvorak_technique quikscat mean_sea_level_pressure united_states eye_(cyclone) ocean wind low_pressure_system trough_(meteorology) fujiwhara_effect precipitation_(meteorology) autumn hail great_storm_of_1987 north_carolina hurricane_wilma flood hurricane_sandy category_1_hurricane extratropical_transition_technique nor%27easter tropical_cyclogenesis centers_of_action mesocyclone polar_low subtropical_ridge polar_high siberian_high azores_high aleutian_low atlantic_hurricane genoa_low icelandic_low kona_storm mediterranean_tropical-like_cyclone pacific_hurricane polar_vortex typhoon colorado_low pandemic christopher_columbus temperate prevailing_westerlies 
atmospheric_pressure  european_windstorm extratropical_cyclone low-pressure_area anticyclone high-pressure_area cyclone thunderstorm tornado weather_system dew_point weather_front depression_(weather) baroclinity weather_fronts barotropic surface_weather_analysis atmospheric_pressure bar_(unit) sea_surface_temperature dvorak_technique cold_front pressure_gradient_force mean_sea_level_pressure convection ocean wind low_pressure_system trough_(meteorology) ridge_(meteorology) blocking_anticyclone precipitation_(meteorology) pascal_(unit) extratropical_transition_technique nor%27easter tropical_cyclogenesis polar_high siberian_high azores_high icelandic_low mediterranean_tropical-like_cyclone latvia north_sea scientific_revolution 
south_ossetia  pound_sterling united_states_dollar renminbi europe mediterranean_sea asia russian_federation demographics_of_europe soviet_union council_of_europe belarus kazakhstan vatican_city european_integration euro albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france germany georgia_(country) greece hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom armenia cyprus greenland eastern_orthodox balkans mediterranean_coast sasanids caucasus jerusalem turkish_republic balkan mediterranean politics_of_europe regions_of_europe list_of_countries_by_area list_of_countries_by_population baku nicosia astana ankara list_of_states_with_limited_recognition abkhazia sukhumi northern_cyprus tskhinvali transnistria akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
philosophy  europe classical_antiquity ancient_greece western_civilization ancient_history renaissance_humanism denmark greece anaximander strabo posidonius christendom greeks athens rationalism philosophy humanism socrates hippocrates galen politics latin christianity renaissance_of_the_12th_century early_modern_period scientific_revolution school_of_athens latin_language polish%e2%80%93lithuanian_commonwealth age_of_enlightenment 
tropical_cyclogenesis  tropical_cyclone hurricane extratropical_cyclone cyclone cyclogenesis wind_shear jetstream gulf_stream cold-core_low subtropical_cyclone sea_surface_temperature eye_(cyclone) fujiwhara_effect extratropical_transition_technique subtropical_ridge azores_high atlantic_hurricane mediterranean_tropical-like_cyclone typhoon 
thunderstorm  tropical_cyclone hurricane storm extratropical_cyclone anticyclone cyclone blizzard tornado synoptic_scale_meteorology weather_front weather_fronts cyclogenesis wind_shear convergence_zone warm_front cold_front convection wind precipitation_(meteorology) thundersnow hail great_plains great_storm_of_1987 flood extratropical_transition_technique mesocyclone subtropical_ridge atlantic_hurricane wake_low colorado_low panhandle_hook latvia pandemic 
ivan_iii_the_great  europe ivan_the_terrible 
fascism  united_states world_war_i europe social_construct berlin_wall monaco netherlands spain adriatic_sea history_of_europe democracy plato thucydides rome nation_state nation-states interwar_period communist stalin the_great_war mussolini fascism kingdom_of_italy adolf_hitler nazi_germany sudetenland molotov%e2%80%93ribbentrop_pact empire_of_japan joseph_stalin 
ancient_greece  thunderstorm ocean montevideo europe european_union madrid continent atlantic_ocean mediterranean_sea classical_antiquity ancient_greece western_civilization ancient_history renaissance_humanism modern_era africa industrial_revolution western_europe europa_(mythology) greek_mythology ancient_greek phoenicia athena phoenician_language princeton_university anatolia albania bulgaria gibraltar greece monaco spain turkey ukraine adriatic_sea aegean_sea anaximander rioni_river herodotus roman_era ptolemy islamic_world byzantium iberia europa_regina tanais history_of_europe balkans danube mediterranean_coast burial_mound minoan_civilization crete greeks phoenicians ancient_rome parthenon athens polis athenian_democracy philosophy aristotle socrates plato historiography thucydides homer sophocles euripides hippocrates pythagoras euclid archimedes city_states achaemenid_empire roman_architecture roman_republic augustus christianity sasanids asia_minor iberian_peninsula charles_martel late_middle_ages fall_of_constantinople scientific_revolution music modern_history italian_unification greek_war_of_independence communist turkish_republic refugee southern_europe deforestation olive wolf balkan eurasian_wolf mediterranean octopuses dolphin capital_city language tirana copenhagen capital_(political) 
barotropic  extratropical_cyclone cyclone thunderstorm synoptic_scale_meteorology dew_point baroclinity barotropic wind_shear surface_weather_analysis atmospheric_pressure westerlies cold-core_low sea_surface_temperature pressure_gradient_force mean_sea_level_pressure norwegian_cyclone_model convection wind precipitation_(meteorology) extratropical_transition_technique prevailing_westerlies 
goths  europe black_sea migration_period middle_ages franks bulgaria greece moldova ukraine roman_era iberia tanais ancient_rome roman_empire roman_engineering germanic_peoples late_antiquity early_middle_ages decline_of_the_roman_empire ostrogoths visigoths vandals huns angles saxons slavs croats sasanids iberian_peninsula reconquista slavic_peoples france_in_the_middle_ages carpathian_mountains sarajevo ankara tiraspol 
countries_of_the_united_kingdom  pound_sterling europe london russian_federation belarus kazakhstan vatican_city european_anthem albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france gibraltar germany georgia_(country) greece hungary iceland republic_of_ireland italy isle_of_man san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom armenia cyprus greenland british_english balkans scottish_people england nation_state nation-states great_britain turkish_republic brexit ireland balkan list_of_countries_by_population northern_cyprus crown_dependencies british_overseas_territories akrotiri_and_dhekelia %c3%85land_islands %c3%85land jersey 
thermal_low  tropical_cyclone hurricane extratropical_cyclone low-pressure_area anticyclone high-pressure_area cyclone rain weather_system depression_(weather) cyclogenesis surface_weather_analysis jetstream subtropical_cyclone convection wind low_pressure_system extratropical_transition_technique centers_of_action mesocyclone polar_low polar_high siberian_high azores_high aleutian_low atlantic_hurricane genoa_low icelandic_low kona_storm polar_vortex colorado_low 
east_european_craton  europe continent latvia geology_of_europe baltic_shield sarmatian_craton baltica rodinia avalonia 
alps  wind genoa_low europe european_union london caucasus_mountains industrial_revolution austria france germany hungary italy liechtenstein netherlands slovakia slovenia switzerland adriatic_sea roman_era ptolemy history_of_europe danube rhine corded_ware chalcolithic mediterranean_basin ancient_rome roman_republic augustus pax_romana renaissance history_of_islam_in_southern_italy pyrenees south_slavs high_middle_ages maritime_republics tancred_of_sicily france_in_the_middle_ages quattrocento cinquecento napoleonic_wars italian_unification mussolini kingdom_of_italy geography_of_europe carpathian_mountains italian_peninsula alpine_tundra montane_forest geology_of_europe pangea tertiary_period apennine_mountains fauna_of_europe neolithic wolf regions_of_europe vienna bern 
ankara  europe istanbul moscow paris london madrid mediterranean_sea asia demographics_of_europe vatican_city anatolia gibraltar monaco turkey armenia cyprus byzantium balkans mediterranean_coast burial_mound crete athens augustus hagia_sophia asia_minor kiev jerusalem rome ataturk turkish_republic berlin geography_of_europe southern_europe balkan mediterranean republic capital_city tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern capital_(political) sukhumi pristina stepanakert northern_cyprus tskhinvali tiraspol 
dark_ages_(historiography)  europe migration_period middle_ages renaissance_humanism roman_era ancient_rome historiography late_antiquity early_middle_ages renaissance petrarch frankish_empire charles_martel high_middle_ages late_middle_ages medieval_demography feudalism crusades france_in_the_middle_ages battle_of_britain 
erica_(meteorology)  extratropical_cyclone extratropical_transition_technique 
helsinki  crimean_war europe european_union istanbul moscow paris london madrid demographics_of_europe european_climate vatican_city schengen_area estonia finland gibraltar lithuania monaco slovakia sweden ukraine baltic_sea athens kiev black_death florence rome avignon stalin molotov%e2%80%93ribbentrop_pact joseph_stalin berlin capital_city tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara capital_(political) pristina stepanakert tskhinvali tiraspol 
azores_high  tropical_cyclone hurricane extratropical_cyclone low-pressure_area anticyclone high-pressure_area cyclone weather_system depression_(weather) cyclogenesis subtropical_cyclone low_pressure_system extratropical_transition_technique centers_of_action mesocyclone polar_low polar_high siberian_high aleutian_low atlantic_hurricane genoa_low icelandic_low kona_storm polar_vortex colorado_low norwegian_sea southern_europe 
fujita_scale  european_windstorm extratropical_cyclone thunderstorm tornado hurricane_sandy extratropical_transition_technique 
eastern_question  crimean_war europe andorra near_east ottoman_empire great_power greek_war_of_independence balkan_wars congress_of_berlin entente_powers kingdom_of_italy decolonisation 
borders_of_the_continents  europe eurasia list_of_transcontinental_countries transcontinental_country georgia_(country) geography_of_europe 
charlemagne  pound_sterling europe european_union classical_antiquity western_civilization ancient_history middle_ages europa_(mythology) franks andorra austria france germany italy san_marino liechtenstein slovenia switzerland carolingian_renaissance christendom alcuin history_of_europe greeks historiography roman_empire germanic_peoples early_middle_ages carolingian_empire decline_of_the_roman_empire visigoths saxons vikings magyars byzantine_empire roland holy_roman_emperor croats frankish_empire charles_martel battle_of_tours carolingian holy_roman_empire high_middle_ages medieval_demography monarchy roman_catholic_church papacy crusades reconquista france_in_the_middle_ages florence pope rome kepler napoleon napoleonic_empire hamburg alps forest wolf eurasian_wolf flag andorra_la_vella 
norwegian_sea  european_windstorm arctic_ocean ocean polar_low europe continent atlantic_ocean mediterranean_sea eurasia caspian_sea black_sea asia renaissance_exploration age_of_discovery americas africa oceania western_europe maghreb anatolia denmark norway faroe_islands adriatic_sea baltic_sea aegean_sea barents_sea bay_of_biscay ligurian_sea north_sea north_america sea_of_azov balkans near_east mediterranean_coast mediterranean_basin slavs vikings asia_minor caucasus slavic_peoples new_world battles_of_narvik italian_peninsula pangea southern_europe scandinavian_mountains balkan mediterranean 
napoleonic_wars  pound_sterling crimean_war uruguay europe russian_federation modern_era industrial_revolution kingdom_of_great_britain world_war warsaw_pact vatican_city austria czech_republic denmark france germany hungary iceland italy isle_of_man liechtenstein norway poland portugal russia sweden united_kingdom adriatic_sea christendom history_of_europe germanic_peoples asturias holy_roman_empire maritime_republics roman_catholic_church crusades inquisition mongol_invasion_of_europe early_modern_period polish%e2%80%93lithuanian_commonwealth battle_of_vienna england modern_history french_revolution age_of_enlightenment napoleon grande_arm%c3%a9e battle_of_waterloo napoleonic_empire napoleonic_code congress_of_vienna great_power prussia austrian_empire ausgleich russian_empire habsburg_empire greek_war_of_independence trade_union interwar_period history_of_the_european_union german_empire stalin danzig invasion_of_poland british_empire joseph_stalin alps scottish_highlands republic vienna luxembourg_(city) amsterdam heligoland akrotiri_and_dhekelia 
kulak  europe soviet_union latvia russian_famine_of_1921 stalin soviet_famine_of_1932-1933 gulag great_purge population_transfer_in_the_soviet_union joseph_stalin 
wind  tropical_cyclone hurricane storm extratropical_cyclone low-pressure_area anticyclone high-pressure_area cyclone thunderstorm blizzard tornado weather_system dew_point depression_(weather) baroclinity barotropic wind_shear surface_weather_analysis atmospheric_pressure warm_front westerlies cold-core_low subtropical_cyclone sea_surface_temperature pressure_gradient_force mean_sea_level_pressure convection ocean low_pressure_system fujiwhara_effect precipitation_(meteorology) hail flood category_1_hurricane extratropical_transition_technique wake_low alpine_tundra prevailing_westerlies pinophyta 
mediterranean_sea  tornado arctic_ocean ocean crimean_war tropical_cyclogenesis mediterranean_tropical-like_cyclone europe istanbul london continent atlantic_ocean eurasia borders_of_the_continents caspian_sea black_sea classical_antiquity asia european_climate ancient_greece ancient_history americas africa oceania western_europe world_war cold_war nato european_integration ancient_greek phoenicia phoenician_language maghreb anatolia boundaries_between_continents albania bosnia_and_herzegovina bulgaria croatia france gibraltar greece italy malta monaco serbia slovakia slovenia spain turkey armenia cyprus adriatic_sea baltic_sea aegean_sea barents_sea bay_of_biscay ligurian_sea north_sea norwegian_sea strait_of_gibraltar north_america anaximander nile roman_era islamic_world byzantium iberia europa_regina sea_of_azov history_of_europe balkans near_east rhine crete greeks phoenicians mediterranean_basin ancient_rome achaemenid_empire roman_empire roman_architecture visigoths vandals slavs byzantine_empire charlemagne asia_minor caucasus iberian_peninsula pyrenees late_middle_ages third_crusade crusades jerusalem holy_land battle_of_manzikert ottoman_empire turkic_peoples slavic_peoples early_modern_period new_world vasco_da_gama napoleonic_wars congress_of_berlin fascism kingdom_of_italy turkish_republic empire_of_japan british_empire geography_of_europe alps italian_peninsula temperate geology_of_europe southern_europe oak balkan politics_of_europe sofia zagreb northern_cyprus british_overseas_territories canary_islands 
archimedes  density perpendicular europe classical_antiquity ancient_greece ancient_greek aegean_sea anaximander herodotus posidonius ptolemy minoan_civilization crete parthenon athens athenian_democracy aristotle socrates plato thucydides homer sophocles euripides hippocrates pythagoras euclid early_middle_ages byzantine_empire scientific_revolution school_of_athens copernicus galileo 
anticyclone  tropical_cyclone hurricane extratropical_cyclone low-pressure_area high-pressure_area cyclone weather_system depression_(weather) baroclinity cyclogenesis surface_weather_analysis cold-core_low subtropical_cyclone eye_(cyclone) low_pressure_system blocking_anticyclone extratropical_transition_technique centers_of_action mesocyclone polar_low polar_high siberian_high azores_high aleutian_low atlantic_hurricane genoa_low icelandic_low kona_storm polar_vortex colorado_low azerbaijan 
obshchy_syrt  europe borders_of_the_continents boundaries_between_continents 
saffir-simpson_hurricane_scale  tropical_cyclone hurricane extratropical_cyclone hurricane_wilma extratropical_transition_technique atlantic_hurricane typhoon 
quaternary_glaciation  arctic_ocean great_plains rocky_mountains europe black_sea americas republic_of_ireland svalbard poland spain barents_sea north_sea nile alps supercontinent columbia_(supercontinent) rodinia gondwana pangea laurasia tertiary_period woolly_mammoth minsk tallinn reykjav%c3%adk 
transcontinental_country  europe russian_federation russia turkey jerusalem turkish_republic baku nicosia astana ankara sukhumi 
megalithic_tomb  europe lascaux homo_erectus_georgicus neanderthal_man neandertal stonehenge vin%c4%8da_culture linear_pottery_culture causewayed_enclosure burial_mound megalithic_tomb corded_ware chalcolithic megalithic neolithic 
demonym  united_states north_carolina oregon wellington canada new_jersey uruguay montevideo europe european_union istanbul moscow paris london madrid eurasia asia russian_federation americas africa oceania kingdom_of_great_britain soviet_union belarus kazakhstan albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france gibraltar germany georgia_(country) greece hungary iceland republic_of_ireland italy isle_of_man san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway poland portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom faroe_islands armenia cyprus greenland north_america athens magyars asturias pyrenees kiev jerusalem granada florence rome orient england nation_state prussia nation-states turkish_republic czechoslovakia hamburg berlin geography_of_europe scottish_highlands andorra_la_vella yerevan vienna baku sarajevo nicosia prague copenhagen tallinn helsinki tbilisi budapest dublin riga vilnius valletta podgorica amsterdam warsaw lisbon bucharest belgrade stockholm bern abkhazia northern_cyprus transnistria british_overseas_territories canary_islands akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
azerbaijan  europe demonym moscow borders_of_the_continents caucasus_mountains caspian_sea asia russian_federation demographics_of_europe soviet_union nato revolutions_of_1989 council_of_europe belarus kazakhstan vatican_city european_integration enlargement_of_the_european_union anatolia list_of_transcontinental_countries boundaries_between_continents transcontinental_country albania andorra austria belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france germany georgia_(country) greece hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway poland portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom armenia cyprus greenland islamic_world volga_river lascaux balkans achaemenid_empire pechenegs sasanids asia_minor caucasus kiev jerusalem ottoman_empire turkic_peoples tatars golden_horde list_of_epidemics crimean_khanate kazakh_khanate russian_empire central_powers turkish_republic czechoslovakia decolonisation geography_of_europe plain balkan politics_of_europe regions_of_europe republic area_and_population_of_european_countries flag list_of_countries_by_area list_of_countries_by_population list_of_countries_by_population_density baku sarajevo nicosia tbilisi reykjav%c3%adk astana ljubljana ankara list_of_states_with_limited_recognition abkhazia sukhumi stepanakert northern_cyprus south_ossetia akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
list_of_epidemics  cyclone tornado flood europe world_population galen early_middle_ages pandemic 
emirate_of_sicily  europe italy malta roman_era ancient_rome roman_empire roman_republic carolingian_empire renaissance byzantine_empire history_of_islam_in_southern_italy crusades kingdom_of_italy 
crimean_war  extratropical_cyclone extratropical_transition_technique istanbul black_sea russian_federation world_war bulgaria france gibraltar malta romania russia united_kingdom baltic_sea kerch_strait sea_of_azov history_of_europe near_east danube ottoman_empire crimean_khanate kazakh_khanate grande_arm%c3%a9e battle_of_waterloo revolutions_of_1848 austro-hungarian_empire italian_unification eastern_question russian_empire franz_joseph_i_of_austria austria-hungary russian_civil_war kingdom_of_italy british_empire bucharest abkhazia %c3%85land_islands %c3%85land 
london  dew_point renminbi crimean_war europe european_union demonym istanbul moscow paris london madrid demographics_of_europe european_climate kingdom_of_great_britain vatican_city gibraltar hungary monaco norway poland portugal slovakia united_kingdom british_english kerch_strait parthenon athens homer hippocrates early_middle_ages kiev late_middle_ages renaissance_of_the_12th_century magna_carta parliament black_death pandemic list_of_epidemics rome protestant age_of_enlightenment great_britain trade_union world_war_ii nazi_germany munich_agreement hamburg danzig battles_of_narvik battle_of_britain british_empire berlin schuman_declaration ireland oak capital_city tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara capital_(political) pristina stepanakert northern_cyprus tskhinvali tiraspol british_overseas_territories countries_of_the_united_kingdom 
july_2016_north_china_cyclone  extratropical_cyclone extratropical_transition_technique 
geopolitical_divisions_of_europe  europe 
holy_land  crimean_war europe mediterranean_sea ancient_history middle_ages france georgia_(country) hungary t_and_o_map nile eastern_orthodox history_of_europe mediterranean_coast christianity byzantine_empire muslim south_slavs high_middle_ages maritime_republics third_crusade roman_catholic_church crusades muslims jerusalem mongol_invasion_of_europe france_in_the_middle_ages wolf mediterranean nicosia lisbon 
the_great_war  europe 
battle_of_stalingrad  europe russian_federation soviet_union germany russia volga_river history_of_europe world_war_ii stalin nkvd adolf_hitler nazi_germany invasion_of_poland european_theatre_of_world_war_ii battles_of_narvik phoney_war battle_of_france battle_of_britain operation_barbarossa empire_of_japan attack_on_pearl_harbor allies_of_world_war_ii joseph_stalin battle_of_kursk battle_of_prokhorovka normandy_landings battle_of_berlin world_war_ii_casualties the_holocaust refugee baku 
islam  north_carolina oregon flood new_jersey europe european_union istanbul mediterranean_sea asia russian_federation world_population ancient_history middle_ages africa soviet_union kazakhstan maghreb albania austria belgium bosnia_and_herzegovina croatia france gibraltar germany georgia_(country) greece iceland republic_of_ireland kosovo luxembourg republic_of_macedonia monaco montenegro netherlands portugal russia serbia slovakia slovenia spain switzerland turkey united_kingdom cyprus north_america noah shem jubilees eastern_orthodox islamic_world christendom balkans mediterranean_coast christianity constantinople late_antiquity early_middle_ages visigoths slavs bulgars pechenegs roland serbs sasanids caucasus emirate_of_sicily history_of_islam_in_southern_italy muslim umayyad_caliphate umayyad battle_of_tours south_slavs roman_catholic_church muslims jerusalem holy_land inquisition reconquista fourth_crusade turkic_peoples slavic_peoples mongol_invasion_of_rus golden_horde persecution_of_jews monasticism rome protestant polish%e2%80%93lithuanian_commonwealth crimean_khanate kazakh_khanate austro-hungarian_empire eastern_question russian_empire great_britain austria-hungary nkvd ataturk turkish_republic secularism adolf_hitler british_empire decolonisation balkan mediterranean benelux flag brussels copenhagen tbilisi vaduz skopje oslo ljubljana abkhazia pristina south_ossetia canary_islands 
south_pacific_high  tropical_cyclone hurricane extratropical_cyclone low-pressure_area anticyclone high-pressure_area cyclone weather_system depression_(weather) cyclogenesis subtropical_cyclone low_pressure_system extratropical_transition_technique centers_of_action mesocyclone polar_low polar_high siberian_high azores_high aleutian_low atlantic_hurricane genoa_low icelandic_low kona_storm polar_vortex colorado_low 
hurricane_wilma  extratropical_cyclone atmospheric_pressure dvorak_technique mean_sea_level_pressure eye_(cyclone) fujiwhara_effect flood hurricane_sandy category_1_hurricane extratropical_transition_technique atlantic_hurricane 
pound_sterling  extratropical_cyclone united_states_dollar renminbi extratropical_transition_technique european_union industrial_revolution kingdom_of_great_britain euro gibraltar isle_of_man united_kingdom england great_britain great_depression british_empire european_community brexit ireland eurozone crown_dependencies british_overseas_territories countries_of_the_united_kingdom heligoland jersey 
proto-indo-european_religion  europe european_union europa_(mythology) greek_mythology athena proto-indo-european_language eastern_orthodox islam roman_republic germanic_peoples christianity monarchy roman_catholic_church monasticism protestant secularism 
